value,count,share
3FFGbUutKWN1c4f0CJR4Uh,70,0.21875
1MPAXuTVL2Ej5x0JHiSPq8,46,0.14375
5H7ixXZfsNMGbIE5OBSpcb,31,0.096875
2XGEyGU76kj55OdHWynX0S,27,0.084375
4hDok0OAJd57SGIT8xuWJH,26,0.08125
43wFM1HquliY3iwKWzPN4y,25,0.078125
1ATL5GLyefJaxhQzSPVrLX,25,0.078125
2QRedhP5RmKJiJ1i8VgDGR,24,0.075
6rePArBMb5nLWEaY9aQqL4,23,0.071875
3RQQmkQEvNCY4prGKE6oc5,23,0.071875
