value,count,share
Home,8,0.12121212121212122
Flowers,8,0.12121212121212122
Ghost,7,0.10606060606060606
Breathe,7,0.10606060606060606
Paradise,6,0.09090909090909091
Runaway,6,0.09090909090909091
Strangers,6,0.09090909090909091
Dreams,6,0.09090909090909091
Sorry,6,0.09090909090909091
Moonlight,6,0.09090909090909091
