value,count,share
Taylor Swift,324,0.2864721485411141
The Weeknd,141,0.1246684350132626
Lana Del Rey,99,0.08753315649867374
Ariana Grande,94,0.08311229000884174
Nirvana,91,0.08045977011494253
Drake,84,0.07427055702917772
Post Malone,83,0.07338638373121131
The Neighbourhood,77,0.0680813439434129
Lady Gaga,70,0.0618921308576481
Olivia Rodrigo,68,0.060123784261715295
