value,count,share
soundtrack,345,0.18025078369905956
pop,326,0.1703239289446186
"country, pop, indie, folk",324,0.16927899686520376
soft pop,199,0.10397074190177638
rap,187,0.09770114942528736
"r&b pop, alternative r&b, hip hop, synthpop",141,0.07366771159874608
dark r&b,110,0.05747126436781609
"alternative pop, indie pop",99,0.05172413793103448
k-pop,92,0.04806687565308255
"grunge, rock",91,0.04754440961337513
